Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Vorel of the Hull Clade,LCC,The Lost Caverns of Ixalan Commander,294,normal,rare,1,88637,82c8cac8-29ce-43cc-bdb4-428c614d8545,,false,false,near_mint,en,EUR
Simic Ascendancy,BLC,Bloomburrow Commander,260,normal,rare,1,96385,9300abb9-2750-4de8-8c1d-dbae48a86037,,false,false,near_mint,en,EUR
Forgotten Ancient,MOC,March of the Machine Commander,297,normal,rare,1,81813,90fc94d9-b8af-4de8-a42d-ae508f8f1cd5,,false,false,near_mint,en,EUR
"Zegana, Utopian Speaker",LCC,The Lost Caverns of Ixalan Commander,298,normal,rare,1,88699,93800249-4fcd-47ec-92f9-58f875cb6f00,,false,false,near_mint,en,EUR
Primal Empathy,NCC,New Capenna Commander,348,normal,uncommon,1,68365,b8099a93-c59d-40a9-96e2-f3dd2a6dd8b8,,false,false,near_mint,en,EUR
Elvish Mystic,CMM,Commander Masters,284,normal,common,1,84500,75918859-c93f-41b4-9ad0-a4a96c389f0d,,false,false,near_mint,en,EUR
Delighted Halfling,LTR,The Lord of the Rings: Tales of Middle-earth,158,normal,rare,1,83185,71384418-173a-4f77-adab-56e52fa23692,,false,false,near_mint,en,EUR
Arboreal Grazer,RVR,Ravnica Remastered,131,normal,common,1,89737,6d00ced6-7ba3-4d78-a680-9d3211704ca2,,false,false,near_mint,en,EUR
Thirsting Roots,ONE,Phyrexia: All Will Be One,185,normal,common,1,78633,75a4a340-453b-471a-82ba-48ebf20b271a,,false,false,near_mint,en,EUR
Fertilid,MOC,March of the Machine Commander,296,normal,common,1,81586,2d73ea23-52ab-4b92-b263-dc8b9e5a1010,,false,false,near_mint,en,EUR
Sunshower Druid,BLB,Bloomburrow,195,normal,common,1,95630,7740abc5-54e1-478d-966e-0fa64e727995,,false,false,near_mint,en,EUR
Satyr Wayfinder,M3C,Modern Horizons 3 Commander,244,normal,common,1,94938,434bb07c-7b70-415e-80dd-317af0ef8bf7,,false,false,near_mint,en,EUR
Llanowar Visionary,M21,Core Set 2021,193,normal,common,1,51025,d6e23afa-7e08-4049-baf0-d4d0134ba2c8,,false,false,near_mint,en,EUR
Leyline of Abundance,WOT,Wilds of Eldraine: Enchanting Tales,56,normal,rare,1,85438,607157a4-4fe8-46b9-86e1-0a30f040116b,,false,false,near_mint,es,EUR
Dramatic Reversal,KLD,Kaladesh,44,normal,common,1,7599,dcb59045-2743-48ae-8063-727e551b1c41,,false,false,near_mint,en,EUR
High Tide,DMR,Dominaria Remastered,54,normal,uncommon,1,78102,babd2248-5517-4b7b-a159-9a1f7b5583c8,,false,false,near_mint,en,EUR
Abundance,40K,"Warhammer 40,000 Commander",210,normal,rare,1,72373,51d27db7-3c11-4896-a8f9-2f7f7beeec18,,false,false,near_mint,es,EUR
